ID	T	d	DEPARTAMENTO	MACROSECTOR	CATEGORIA	ACTIVO	PASIVO	EMPLEOS
1	1	1	BOGOTA	SinInf	C	6038065	8875860	1
2	2	1	ANTIOQUIA	SinInf	C	6404983	7902028	0
3	1	0	ATLANTICO	SERVICIOS	A	626170518	878429176	1
4	1	0	BOGOTA	SinInf	A	1601645482	738560664	1
5	1	0	ANTIOQUIA	CONSTRUCCION	A	53254660	51786805	0
6	0	0	BOGOTA	CONSTRUCCION	A	84913	3859051	0
7	0	0	BOGOTA	SinInf	C	11551730	1551730	0
8	0	1	ANTIOQUIA	SinInf	C	434462120	307131720	0
9	1	1	VALLE	SinInf	C	2545328	7496647	1
10	4	0	VALLE	SinInf	C	7393538	424759	2
11	6	0	ATLANTICO	SinInf	B	10999974	9977150	0
12	3	0	CUNDINAMARCA	COMERCIO	C	5312921	2657386	0
13	4	0	BOGOTA	SinInf	C	1865309	240742	2
14	8	0	BOGOTA	SinInf	C	23521903	13171381	1
15	3	0	ANTIOQUIA	SinInf	C	2756070	1686185	0
16	2	0	BOLIVAR	SinInf	C	1283964	3133179	1
17	11	0	BOGOTA	SinInf	C	1654970	876490	1
18	4	0	ANTIOQUIA	SinInf	C	724833	378706	0
19	10	0	MAGDALENA	COMERCIO	C	930122	147015	0
20	1	0	ANTIOQUIA	SinInf	C	1423531	6453575	0
21	0	0	N_SANTANDER	COMERCIO	C	579104	344487	0
22	0	0	BOGOTA	SinInf	C	180285	122224701	1
23	0	0	CUNDINAMARCA	COMERCIO	B	4646771	106866	1
24	1	0	META	COMERCIO	C	252881	123239	1
25	1	0	CUNDINAMARCA	SERVICIOS	C	2283729	1004258	0
26	7	0	CASANARE	TRANSPORTE	C	883314	177155	0
27	1	0	BOGOTA	CONSTRUCCION	C	11492359	5748679	45
28	4	0	ATLANTICO	SinInf	C	1570980	1035669	0
29	3	0	BOGOTA	COMERCIO	C	682561	124948	1
30	6	0	ANTIOQUIA	SinInf	C	490249	122426	0
31	1	1	ANTIOQUIA	COMERCIO	C	6930768	3901000	1
32	13	0	ANTIOQUIA	COMERCIO	C	3819598	3370888	61
33	5	0	ATLANTICO	TRANSPORTE	C	1321565	668550	2
34	3	0	ANTIOQUIA	SinInf	C	1154156	325762	0
35	3	0	ANTIOQUIA	COMERCIO	C	5610162	3812561	1
36	4	0	ANTIOQUIA	COMERCIO	C	1233467	611082	0
37	3	0	SANTANDER	CONSTRUCCION	C	273780	210305	1
38	13	0	MAGDALENA	TRANSPORTE	C	574063	477898	0
39	1	0	BOYACA	TRANSPORTE	C	1218284	418982	1
40	9	0	MAGDALENA	MANUFACTURA	C	591001	238781	0
41	4	1	BOGOTA	SinInf	C	326305	5319238	0
42	3	0	BOGOTA	AGROPECUARIO	B	15549570	12215557	0
43	2	1	SANTANDER	TRANSPORTE	C	4307435	4127762	1
44	0	0	ANTIOQUIA	TRANSPORTE	C	2197570	1292556	0
45	13	0	VALLE	SERVICIOS	C	760939	591897	0
46	1	0	CALDAS	SERVICIOS	C	8864250	6933775	1
47	2	0	SANTANDER	TRANSPORTE	C	493126	303808	6
48	4	0	CUNDINAMARCA	AGROPECUARIO	C	4502829	2124098	0
49	3	0	BOGOTA	TRANSPORTE	A	7252390	2409397	0
50	4	1	NARIÑO	CONSTRUCCION	C	549214	450861	6
51	3	1	NARIÑO	SinInf	C	553892	1518148	0
52	2	0	NARIÑO	COMERCIO	C	741833	219905	1
54	1	0	BOLIVAR	SinInf	C	1277516	623538	0
55	3	0	BOGOTA	COMERCIO	C	4334794	8868062	0
56	1	0	SANTANDER	SinInf	C	7237144	8566340	1
57	4	0	SANTANDER	AGROPECUARIO	C	283953	216701	0
58	2	0	BOLIVAR	SinInf	B	9295527	6990772	1
59	1	1	BOGOTA	SinInf	C	1075451	977907	1
60	2	0	SANTANDER	AGROPECUARIO	C	349344	643415	0
61	0	0	BOGOTA	SinInf	C	323247	460430	0
62	4	0	SANTANDER	COMERCIO	C	544372	283345	1
63	2	0	SANTANDER	TRANSPORTE	C	340890	185383	0
64	1	0	SANTANDER	TRANSPORTE	C	3093389	2622606	1
65	9	1	SANTANDER	SERVICIOS	C	4963587	2490075	10
66	4	0	SANTANDER	SinInf	C	26034323	10547246	0
67	4	0	SANTANDER	SinInf	C	1543947	208438	1
68	9	0	CESAR	SinInf	C	5130326	111219	1
69	9	0	CESAR	SinInf	C	5391788	309733	1
70	1	0	SANTANDER	TRANSPORTE	C	5566000	4558279	0
71	6	0	SANTANDER	COMERCIO	C	2331971	1981587	0
72	5	0	VALLE	SinInf	C	709693	274527	0
73	14	0	VALLE	SERVICIOS	C	1190041	592489	0
74	6	0	VALLE	SinInf	C	226750	86035	0
75	3	0	VALLE	COMERCIO	C	1430148	1299191	17
76	5	0	VALLE	SinInf	C	1266127	439041	0
77	9	0	VALLE	AGROPECUARIO	C	550141	229420	0
78	3	0	PUTUMAYO	SERVICIOS	C	1080596	259768	3
79	11	0	BOGOTA	SinInf	C	6577426	3566730	1
80	0	0	BOGOTA	SinInf	C	5543428	2545017	0
81	3	0	CORDOBA	MANUFACTURA	C	587255	339551	1
82	2	0	CORDOBA	COMERCIO	B	29210169	19173088	12
83	0	0	BOGOTA	COMERCIO	C	3359333	1009446	2
84	6	0	SANTANDER	COMERCIO	C	1527278	2574431	1
85	10	0	MAGDALENA	COMERCIO	C	502639	341146	0
86	1	0	BOGOTA	TRANSPORTE	C	1031502	401589	3
87	1	0	BOGOTA	CONSTRUCCION	A	97711771	65363263	1
88	10	0	VALLE	AGROPECUARIO	C	1664487	1434991	0
89	2	0	BOYACA	SinInf	C	825960	2461689	0
90	11	0	ATLANTICO	COMERCIO	C	2507196	169169	0
91	10	0	ATLANTICO	AGROPECUARIO	C	727403	533343	10
92	3	0	BOLIVAR	SinInf	C	1185331	634724	0
93	4	0	MAGDALENA	SERVICIOS	C	4133920	2493914	17
94	5	0	SANTANDER	SERVICIOS	C	1530797	4975005	0
95	10	0	ATLANTICO	SinInf	A	20335188	10498353	0
96	1	0	CORDOBA	AGROPECUARIO	C	5624076	2900807	1
97	8	0	RISARALDA	SinInf	C	11925708	3932708	0
98	3	0	QUINDIO	SERVICIOS	C	9038584	5376077	1
99	0	0	CUNDINAMARCA	SERVICIOS	C	1524506	590137	0
100	3	0	QUINDIO	SinInf	B	17631736	2190768	1
101	4	0	HUILA	SinInf	C	525056	134252	1
102	0	0	HUILA	SinInf	C	967384	601829	0
103	0	0	HUILA	SERVICIOS	C	765000	3475744	0
104	2	0	BOLIVAR	SERVICIOS	C	4904357	3696747	1
105	1	0	BOLIVAR	SinInf	C	1440879	1256244	1
106	0	0	ANTIOQUIA	SinInf	B	15510932	9092616	1
107	0	0	ANTIOQUIA	SinInf	C	2298379	1314641	1
108	2	0	ANTIOQUIA	COMERCIO	C	1808305	2392232	0
109	0	0	ANTIOQUIA	SinInf	C	258090	307865	1
110	5	0	RISARALDA	SERVICIOS	C	1182968	690853	1
111	14	0	ATLANTICO	SERVICIOS	C	5597460	1018684	3
112	0	0	ANTIOQUIA	SinInf	C	4741654	2797813	0
113	2	1	VALLE	COMERCIO	C	347892	1105433	2
114	4	0	ANTIOQUIA	SinInf	C	5514339	2589714	0
115	0	0	ANTIOQUIA	SinInf	C	2413936	1315590	1
116	1	0	NARIÑO	SinInf	C	4518670	3256777	1
117	5	0	ANTIOQUIA	SinInf	C	1346211	2008817	0
118	4	0	ANTIOQUIA	SERVICIOS	C	3443012	848347	0
119	6	0	ANTIOQUIA	TRANSPORTE	C	2689754	1856726	0
120	2	0	ATLANTICO	SinInf	B	560207	533082	1
121	2	0	ATLANTICO	TRANSPORTE	C	27590	325196	0
122	1	0	ATLANTICO	COMERCIO	C	203612	246347	0
123	4	0	BOGOTA	COMERCIO	C	8320	3429329	0
124	1	0	CESAR	TRANSPORTE	C	611812	455858	0
125	5	0	ATLANTICO	SinInf	B	10129671	2460792	0
126	6	0	ATLANTICO	SinInf	C	3696241	2631681	0
127	3	0	ATLANTICO	CONSTRUCCION	C	5009735	1102823	0
128	8	0	ATLANTICO	SERVICIOS	C	3448119	793252	0
129	10	0	ATLANTICO	SERVICIOS	C	2948208	770806	0
130	1	0	ATLANTICO	COMERCIO	C	182799	129017	0
131	7	0	ATLANTICO	TRANSPORTE	C	1744796400	962507148	0
132	7	0	CESAR	AGROPECUARIO	C	4737839	1767017	0
133	1	0	ATLANTICO	COMERCIO	C	1512178	1021818	0
134	13	0	ATLANTICO	MANUFACTURA	C	4486268	2413775	0
135	3	1	ATLANTICO	COMERCIO	C	5083953	24328951	1
136	4	0	ATLANTICO	SinInf	C	1967579	3878643	0
137	4	0	ATLANTICO	SERVICIOS	B	14574665	8212905	13
138	5	0	ATLANTICO	AGROPECUARIO	C	5345850	1738111	4
139	7	0	ATLANTICO	MANUFACTURA	C	1318588	757055	0
140	2	0	ATLANTICO	SinInf	C	812453	504140	2
141	5	0	ATLANTICO	SinInf	C	2240000	2067877	0
142	4	0	ATLANTICO	AGROPECUARIO	C	8164954	3713670	2
143	6	0	BOLIVAR	SinInf	C	3090000	1694013	0
144	1	0	BOLIVAR	SinInf	C	9411757	5511195	1
145	1	0	BOGOTA	SinInf	B	752400	588726	1
146	2	0	CASANARE	AGROPECUARIO	B	17345325	12187740	1
147	4	1	RISARALDA	TRANSPORTE	C	2664363	405011	4
148	3	1	QUINDIO	SinInf	C	314620	5168265	0
149	3	0	RISARALDA	SinInf	C	6065729	895194	0
150	1	0	BOGOTA	SinInf	A	20480045	22731580	0
151	0	0	RISARALDA	SERVICIOS	B	32161002	24198919	1
152	13	0	VALLE	COMERCIO	C	684288	417552	0
153	1	0	RISARALDA	SinInf	C	24468441	15557483	1
154	8	0	META	AGROPECUARIO	B	13845697	9123632	1
155	10	0	RISARALDA	SERVICIOS	C	740820	406855	1
156	4	0	BOLIVAR	SinInf	C	1344950	509182	0
157	1	0	RISARALDA	SinInf	C	3474784	2155056	1
158	2	0	RISARALDA	SinInf	C	10452390	5726532	1
159	0	0	RISARALDA	SinInf	A	219135257	61846645	0
160	3	0	CALDAS	MANUFACTURA	C	664963	416426	1
161	4	0	CALDAS	SERVICIOS	C	6650072	3723636	3
162	12	0	BOLIVAR	AGROPECUARIO	C	2145411	1445452	0
163	6	0	VALLE	SinInf	C	734687	667885	0
164	4	0	VALLE	CONSTRUCCION	C	2587167	1468312	0
165	9	0	BOGOTA	SinInf	C	1903216	675152	0
166	0	0	TOLIMA	CONSTRUCCION	B	14879880	8297880	35
167	4	1	RISARALDA	COMERCIO	C	1855353	5572097	1
168	5	0	CORDOBA	SinInf	C	524744	291026	6
169	0	0	BOGOTA	TRANSPORTE	C	767439	244216	0
170	2	0	CUNDINAMARCA	SinInf	C	1672420	1123154	0
171	6	0	BOGOTA	CONSTRUCCION	C	2912429	1835995	1
172	5	0	CUNDINAMARCA	SinInf	C	8016962	3771253	1
173	4	0	CUNDINAMARCA	COMERCIO	B	29014393	8208190	0
174	4	1	BOGOTA	SinInf	C	1787685	133560	0
175	3	1	ATLANTICO	SinInf	C	722198	1206026	0
176	3	0	BOGOTA	SinInf	C	4860776	2097153	1
177	1	1	HUILA	SinInf	C	8115	282850	0
178	4	0	HUILA	COMERCIO	C	1591800	686218	0
179	0	0	HUILA	SinInf	C	6196457	5081912	0
180	1	0	CUNDINAMARCA	SinInf	B	21955728	46073258	0
181	1	0	HUILA	COMERCIO	C	1798111	2826075	1
182	2	0	SANTANDER	SinInf	C	509338	2088522	1
183	4	0	SANTANDER	MANUFACTURA	C	70340	69840	0
184	6	0	MAGDALENA	COMERCIO	B	1387951	962646	0
185	4	0	MAGDALENA	COMERCIO	C	927094	330077	1
186	6	0	CESAR	SinInf	C	2085786601	415649494	0
187	6	0	MAGDALENA	SERVICIOS	C	3743720	2249397	0
188	0	0	BOGOTA	SinInf	C	1705505	919000	0
189	5	0	CESAR	SinInf	B	11762768	16734696	0
190	15	0	MAGDALENA	COMERCIO	C	775152	568311	2
191	3	1	NARIÑO	COMERCIO	C	370868	915302	0
192	2	1	NARIÑO	SERVICIOS	C	462145	865872	1
193	4	1	NARIÑO	CONSTRUCCION	C	936293	7598322	10
194	1	0	NARIÑO	SinInf	A	19142164	11734838	0
195	2	0	NARIÑO	CONSTRUCCION	B	22659501	13397896	19
196	2	0	NARIÑO	CONSTRUCCION	C	991015	661529	3
197	8	0	NARIÑO	MINERO	C	528375	593491	0
198	3	0	NARIÑO	COMERCIO	C	787811	440574	5
199	3	0	N_SANTANDER	COMERCIO	C	607167	369213	0
200	3	0	N_SANTANDER	SERVICIOS	C	1025667	532430	4
201	6	0	N_SANTANDER	COMERCIO	C	571186	289011	2
202	8	0	SANTANDER	SinInf	C	810114	156017	5
203	2	0	N_SANTANDER	COMERCIO	C	1211968	526705	1
204	13	0	N_SANTANDER	COMERCIO	C	897753392	357780402	0
205	7	0	N_SANTANDER	COMERCIO	C	239267	123344	0
206	1	0	N_SANTANDER	COMERCIO	C	489535	401662	1
207	4	0	N_SANTANDER	COMERCIO	C	140173	67714	0
208	5	0	N_SANTANDER	COMERCIO	C	203838	105340	1
209	5	1	N_SANTANDER	AGROPECUARIO	C	332999	258883	0
210	4	0	SANTANDER	COMERCIO	C	410000	187150	0
211	4	0	CESAR	COMERCIO	C	855680	489042	0
212	1	0	SANTANDER	SERVICIOS	C	1225917	338627	1
213	4	1	BOGOTA	SinInf	C	2775000	3000000	0
214	4	0	N_SANTANDER	COMERCIO	C	3849126	1937398	2
215	2	1	N_SANTANDER	MANUFACTURA	C	438806	561565	1
216	6	0	SANTANDER	COMERCIO	C	1150217	418511	0
217	5	1	N_SANTANDER	SinInf	C	256746	10223331	0
218	2	1	SANTANDER	COMERCIO	C	83337	966750	1
219	4	0	SANTANDER	SERVICIOS	C	1691865	1134208	0
220	5	0	SANTANDER	AGROPECUARIO	C	1672250	1179929	5
221	2	0	SANTANDER	MANUFACTURA	C	4692473	1097794	0
222	2	0	SANTANDER	COMERCIO	C	5602	333630	1
223	2	0	SANTANDER	COMERCIO	C	220300	131400	1
224	7	1	SANTANDER	SERVICIOS	C	787295	869435	0
225	2	0	SANTANDER	TRANSPORTE	C	24396221	3377856	1
226	2	0	SANTANDER	SinInf	C	2500000	6400000	1
227	4	0	SANTANDER	SinInf	C	10971673	8340841	0
228	3	1	N_SANTANDER	SinInf	C	2000000	2728024	1
229	4	0	SANTANDER	COMERCIO	C	457585	447638	0
230	0	0	SANTANDER	SinInf	C	50726	859157	0
231	0	0	SANTANDER	SinInf	C	6045842	4184218	0
232	8	0	SANTANDER	COMERCIO	C	260000	402607	1
233	0	0	SANTANDER	COMERCIO	C	628962	585183	1
234	4	1	SANTANDER	MANUFACTURA	C	324487	536302	1
235	5	0	SANTANDER	COMERCIO	C	352850	182846	2
236	0	0	SANTANDER	TRANSPORTE	C	11262514	7660900	1
237	9	0	SANTANDER	MINERO	C	15286456	9172363	1
238	4	1	SANTANDER	COMERCIO	C	407376	1274537	0
239	4	0	SANTANDER	AGROPECUARIO	C	2747799	411465	3
240	0	0	SANTANDER	CONSTRUCCION	C	8609639	4857778	1
241	0	0	SANTANDER	MANUFACTURA	C	2528010	1239307	1
242	4	0	SANTANDER	COMERCIO	C	2854722	1641279	5
243	6	0	SANTANDER	COMERCIO	C	4420217	2375000	9
244	1	0	SANTANDER	COMERCIO	C	22318747	13962861	1
245	2	0	SANTANDER	AGROPECUARIO	C	4528940	887512	0
246	11	0	SANTANDER	SinInf	B	13783385	29294599	0
247	4	0	SANTANDER	SinInf	C	571043	183331	0
248	3	0	SANTANDER	COMERCIO	C	785715	737676	0
249	1	0	SANTANDER	MANUFACTURA	C	2203915	1778871	1
250	8	0	SANTANDER	COMERCIO	C	649379	1066834	0
251	1	0	SANTANDER	COMERCIO	C	3933580	1431238	0
252	4	0	SANTANDER	AGROPECUARIO	C	164520	44500	5
253	1	0	SANTANDER	SERVICIOS	C	61587	397657	1
254	3	0	SANTANDER	SERVICIOS	C	191614	55331	0
255	2	0	SANTANDER	COMERCIO	C	955440	393013	1
256	3	0	SANTANDER	AGROPECUARIO	C	923739	583989	0
257	4	0	SANTANDER	TRANSPORTE	C	5079683	2274189	6
258	2	0	TOLIMA	SinInf	C	348410	2051570	1
259	3	0	TOLIMA	SinInf	B	11947573	7941867	0
260	4	0	ANTIOQUIA	SERVICIOS	C	655330	372221	0
261	4	0	VALLE	SinInf	C	18747784	13671458	0
262	1	0	VALLE	SinInf	C	9912398	909547	1
263	6	0	VALLE	SinInf	C	624280	560281	0
264	6	0	VALLE	SinInf	C	597713	218265	0
265	4	0	ANTIOQUIA	SinInf	C	863302	1128747	0
266	5	0	VALLE	SinInf	C	1558435	888417	0
267	3	0	VALLE	COMERCIO	C	1022404	725955	0
268	9	0	VALLE	MANUFACTURA	C	1560314	683700	0
269	9	0	BOGOTA	SinInf	C	2158718	51187	1
270	12	0	VALLE	SERVICIOS	C	2304368	692209	0
271	4	0	ATLANTICO	COMERCIO	C	3679521	2346287	17
272	2	0	BOGOTA	SinInf	C	625560	3175757	0
273	3	0	ATLANTICO	SinInf	C	293833	1306895	0
274	1	0	VALLE	SERVICIOS	C	22185	615156	0
275	0	0	ATLANTICO	CONSTRUCCION	C	4780555	2959652	0
276	3	0	ATLANTICO	COMERCIO	C	6315449	5819101	2
277	0	0	SAN_ANDRES	SinInf	C	3084524594	948740059	1
278	4	0	ANTIOQUIA	COMERCIO	C	1940195	640244	2
279	6	0	ANTIOQUIA	CONSTRUCCION	C	3037467	3035428	0
280	4	0	ANTIOQUIA	SERVICIOS	C	1705617	978230	0
281	0	0	ANTIOQUIA	SinInf	C	2254946	5835848	1
282	3	0	ANTIOQUIA	COMERCIO	C	2166712	8902541	4
283	1	1	ANTIOQUIA	SinInf	C	262707	1481682	0
284	0	0	ANTIOQUIA	SinInf	C	8936476	4812121	1
285	4	0	ANTIOQUIA	COMERCIO	C	1545910	910356	1
286	1	0	ANTIOQUIA	AGROPECUARIO	B	34887573	16861505	2
287	0	0	ANTIOQUIA	AGROPECUARIO	C	6801243	5592960	1
288	4	0	ANTIOQUIA	COMERCIO	C	3670632	1917621	0
289	9	0	VALLE	CONSTRUCCION	C	633417	321821	0
290	7	0	VALLE	SinInf	C	1167046	466464	0
291	3	0	RISARALDA	SERVICIOS	C	5424566	2942649	3
292	6	0	VALLE	AGROPECUARIO	C	1288577	691645	2
293	13	0	VALLE	SERVICIOS	C	1027651	306888	0
294	3	1	BOGOTA	SinInf	C	3549736	5288760	1
295	2	1	VALLE	SERVICIOS	C	1198717	104538	0
296	12	0	CUNDINAMARCA	COMERCIO	C	1267936	827391	0
297	8	0	VALLE	SinInf	C	2774649	1030968	0
298	3	0	VALLE	SERVICIOS	C	3082271	1332819	0
299	6	0	VALLE	SinInf	C	312778	93100	0
300	5	0	CAUCA	SinInf	C	12942439	8666049	0
301	7	0	VALLE	SinInf	C	514245	55219	0
302	1	0	VALLE	CONSTRUCCION	C	8789043	7160838	6
303	1	1	VALLE	SERVICIOS	C	3867346	3044143	1
304	7	0	VALLE	SinInf	C	720829	186496	0
305	7	0	VALLE	SinInf	C	279441	185863	0
306	3	0	VALLE	SERVICIOS	C	923243	565335	3
307	0	0	BOGOTA	SinInf	C	3103798	1168522	0
308	5	1	VALLE	SinInf	C	969151	862332	0
309	12	0	VALLE	SERVICIOS	C	2695089	2341038	0
310	4	1	ANTIOQUIA	SERVICIOS	C	419016	3460258	1
311	4	0	VALLE	SinInf	C	2633809	614254	0
312	5	1	VALLE	SERVICIOS	C	352653	1111039	0
313	2	0	CORDOBA	COMERCIO	C	324236	92600	1
314	3	0	VALLE	SinInf	C	1164565	993114	0
315	2	0	VALLE	SinInf	B	9428436	472729	0
316	6	0	VALLE	SinInf	C	406288	238309	0
317	1	0	BOGOTA	TRANSPORTE	C	10698939	1717463	1
318	6	0	VALLE	SinInf	C	2465149	852251	0
319	3	0	MAGDALENA	SERVICIOS	C	782178	688928	0
320	0	0	VALLE	SinInf	C	2035972939	5080661664	1
321	14	0	VALLE	MANUFACTURA	C	1229364	1455149	0
322	5	0	VALLE	SinInf	C	671460	305272	0
323	4	0	ANTIOQUIA	SinInf	C	960915	686410	0
324	4	0	VALLE	SinInf	C	2677237	830520	0
325	5	0	BOGOTA	SinInf	B	1387388	171199	1
327	11	0	RISARALDA	AGROPECUARIO	C	1174529	675812	1
328	8	0	CUNDINAMARCA	COMERCIO	C	609325	555452	1
329	11	0	BOGOTA	SinInf	A	34507691	19682655	0
330	3	0	META	CONSTRUCCION	C	8031061	5724946	2
331	3	1	META	SERVICIOS	C	1022224	408406	0
332	4	1	META	COMERCIO	C	2457301	1039815	0
333	3	0	META	TRANSPORTE	C	1421671	1390187	0
334	2	0	META	SinInf	B	11380251	4252218	11
335	0	0	ANTIOQUIA	SinInf	C	569666	2282453	0
336	2	0	BOGOTA	SERVICIOS	C	5966119	3847534	1
337	5	0	SANTANDER	SERVICIOS	C	2258895	1953042	5
338	1	0	PUTUMAYO	SinInf	C	323860	142192	1
339	3	0	PUTUMAYO	COMERCIO	C	1302531	620532	1
340	2	0	PUTUMAYO	COMERCIO	C	606900	343480	0
341	0	0	BOGOTA	SinInf	B	46655628	14722019	0
342	4	0	BOLIVAR	SERVICIOS	C	314896	185582	2
343	0	0	RISARALDA	SERVICIOS	C	3531446	2918596	1
344	3	0	ATLANTICO	SinInf	B	12566219	11511435	0
345	5	0	SANTANDER	SERVICIOS	C	1199167	701629	7
346	4	1	CESAR	COMERCIO	C	1118381	743679	2
347	6	0	BOGOTA	SinInf	C	273317	301998	0
348	5	0	VALLE	SinInf	C	28026642	1443397	0
349	3	0	BOGOTA	SinInf	C	1207443	667182	0
350	2	0	BOGOTA	SERVICIOS	C	103943912	49652407	1
351	0	0	BOGOTA	SinInf	C	500482	255607	0
352	1	0	BOGOTA	SinInf	B	1107500	7466441	0
353	4	1	BOGOTA	SinInf	B	7571818	39936795	0
354	8	0	BOGOTA	SinInf	C	1660400	744809	0
355	2	0	BOGOTA	SinInf	C	2281187	158403	0
356	5	0	BOGOTA	COMERCIO	C	1827332	716367	3
357	4	0	CUNDINAMARCA	COMERCIO	C	2682327	2640520	0
358	3	0	CUNDINAMARCA	TRANSPORTE	C	4177469	2395110	1
359	4	0	BOGOTA	AGROPECUARIO	B	13549948	9080047	0
360	7	1	BOGOTA	SERVICIOS	B	10697000	21885422	0
361	0	0	BOGOTA	SinInf	C	2331910	98189	0
362	4	1	BOGOTA	COMERCIO	C	761593	6405190	0
363	0	0	BOGOTA	CONSTRUCCION	C	6195895	3903599	5
364	9	0	BOGOTA	AGROPECUARIO	C	1617201	846984	1
365	5	0	SANTANDER	MANUFACTURA	C	15764382	9017701	30
366	0	0	BOGOTA	SinInf	C	12492981	100577898	0
367	9	0	CUNDINAMARCA	TRANSPORTE	C	359697	237902	1
368	4	0	BOGOTA	COMERCIO	C	1406432	631094	3
369	11	0	ATLANTICO	COMERCIO	C	1149969	605043	7
370	1	0	BOGOTA	SERVICIOS	C	1370088	2954593	3
371	3	0	VALLE	SinInf	C	5852995	24193475	0
372	8	0	BOGOTA	SERVICIOS	B	6078096	6263304	2
373	4	0	BOGOTA	AGROPECUARIO	C	3583157	1208511	0
374	1	0	BOGOTA	CONSTRUCCION	C	1687341	821039	0
375	4	0	BOGOTA	SERVICIOS	B	14842545	39001444	0
376	1	0	BOGOTA	SinInf	B	2810536	10408963	0
377	3	0	SANTANDER	SERVICIOS	C	875781	289738	1
378	8	0	VALLE	SinInf	C	158756	76808	0
379	4	0	BOGOTA	SinInf	C	12587879	11190138	1
380	5	0	BOGOTA	COMERCIO	C	2492312	3339769	0
381	2	0	BOGOTA	CONSTRUCCION	C	8474821	6136697	17
382	11	0	BOGOTA	SinInf	C	544901	476620	0
383	5	0	BOGOTA	MANUFACTURA	C	6450038000	1624384000	0
384	5	0	BOGOTA	MANUFACTURA	B	21976510	13761754	1
385	3	0	BOGOTA	SinInf	C	3068148	535051	1
386	2	0	VALLE	SERVICIOS	C	1560596	854943	1
387	2	0	BOGOTA	SERVICIOS	C	3324949	682436	1
388	2	0	CUNDINAMARCA	SinInf	C	5480	511452	0
389	1	1	BOGOTA	SinInf	C	32891	339842	0
390	3	0	BOGOTA	SinInf	C	296000	885435	0
391	0	0	BOGOTA	SERVICIOS	C	5296616	4602599	0
392	4	0	BOGOTA	SinInf	C	1920000	2734021	0
393	1	0	ANTIOQUIA	SinInf	C	1557549	611119	0
394	2	1	SANTANDER	COMERCIO	C	39954	316811	1
395	2	0	BOGOTA	COMERCIO	C	2043015	569711	1
396	3	0	BOGOTA	SinInf	C	1766376	684626	1
397	3	1	BOGOTA	AGROPECUARIO	C	5280114	5279918	1
398	1	0	BOGOTA	SERVICIOS	C	3318412	2269053	1
399	4	0	SANTANDER	SERVICIOS	C	1114506	721072	13
400	0	0	CUNDINAMARCA	SERVICIOS	C	3686501	1921425	4
401	1	0	TOLIMA	AGROPECUARIO	C	12351534	8836397	31
402	2	1	BOGOTA	SinInf	C	173765	850109	1
403	3	0	BOGOTA	SinInf	C	1292884	624312	0
404	1	1	SANTANDER	AGROPECUARIO	C	1338321	1444152	0
405	11	0	MAGDALENA	COMERCIO	C	1247626	988656	9
406	1	0	BOLIVAR	SinInf	C	5000000	14785880	1
407	3	0	BOGOTA	SinInf	C	6437960	6437960	0
408	2	0	BOGOTA	AGROPECUARIO	C	3179687	2471578	1
409	3	0	CUNDINAMARCA	TRANSPORTE	C	2592424	1166849	0
410	7	0	CUNDINAMARCA	SERVICIOS	C	1124071	812894	0
411	3	0	ANTIOQUIA	AGROPECUARIO	C	327721	213074	1
412	7	0	ANTIOQUIA	COMERCIO	C	1880376	1405297	0
413	4	0	ANTIOQUIA	COMERCIO	C	606525	313439	1
414	1	1	ANTIOQUIA	SinInf	C	33639	79477	0
415	1	0	BOGOTA	SinInf	C	1840804	2926674	0
416	4	0	ANTIOQUIA	AGROPECUARIO	C	4718304	3843906	6
417	3	0	ANTIOQUIA	COMERCIO	C	2924343	1273831	0
418	4	0	VALLE	SinInf	C	2090266	1026940	0
419	0	0	ANTIOQUIA	SERVICIOS	C	474363	280341	14
420	9	0	ATLANTICO	AGROPECUARIO	C	1342593	35154	1
421	4	0	ATLANTICO	SinInf	C	1861028	648642	0
422	10	0	ATLANTICO	COMERCIO	C	890767	704512	0
423	6	0	ATLANTICO	SERVICIOS	C	1513773	750000	1
424	3	0	SANTANDER	COMERCIO	B	5973330	761288	4
425	9	0	ATLANTICO	SERVICIOS	C	624524	68747	1
426	7	0	ATLANTICO	SinInf	C	1784172516	483186946	0
427	3	0	ATLANTICO	TRANSPORTE	C	2728116	4069463	0
428	2	0	ATLANTICO	SinInf	C	1361020	2919063	12
429	5	0	SUCRE	SERVICIOS	C	1257511	623552	0
430	6	0	BOGOTA	SinInf	C	330332	90616	1
431	9	0	BOYACA	COMERCIO	C	338112	188633	0
432	7	0	SANTANDER	COMERCIO	C	2865312	2446478	0
433	7	0	CALDAS	SinInf	C	1067666	4133873	1
434	14	0	CALDAS	MANUFACTURA	C	2829841	1995116	1
435	10	0	RISARALDA	SERVICIOS	C	822157	164844	0
436	4	0	ATLANTICO	COMERCIO	C	1290419	715246	2
437	3	0	HUILA	COMERCIO	C	1332757	886290	1
438	2	0	BOGOTA	SinInf	C	1732098	1000791	0
439	7	0	BOLIVAR	SinInf	C	11033835	5641118	0
440	7	0	RISARALDA	COMERCIO	C	8444613	671674	1
441	1	0	BOGOTA	SinInf	C	993248	764440	1
442	2	0	CHOCO	SERVICIOS	B	11206487	6106538	2
443	11	0	BOGOTA	SinInf	B	8541198	9264472	0
444	4	0	CESAR	COMERCIO	C	582600	79600	0
445	0	0	MAGDALENA	TRANSPORTE	C	658933	354810	0
