ID	T	d	DEPARTAMENTO	MACROSECTOR	CATEGORIA	ACTIVO	PASIVO	EMPLEOS
3701	4	0	VALLE	AGROPECUARIO	C	10160912	5783951	220
3702	2	0	CUNDINAMARCA	SERVICIOS	B	24367670	21899930	7
3703	1	0	ATLANTICO	SERVICIOS	C	2375973	1246516	9
3704	1	0	ATLANTICO	COMERCIO	C	5368007	4553330	2
3705	2	0	BOGOTA	MANUFACTURA	C	6570823	5877940	44
3706	4	0	ATLANTICO	COMERCIO	C	2094370	1555889	14
3707	2	0	VALLE	CONSTRUCCION	C	1603867	1371334	9
3708	2	0	ANTIOQUIA	SERVICIOS	C	807233	745264	23
3709	0	0	BOLIVAR	CONSTRUCCION	C	12453106656	2942582937	1
3710	0	0	ANTIOQUIA	MANUFACTURA	C	4590126	2494502	7
3711	4	0	SANTANDER	COMERCIO	C	6533450	1577520	2
3712	0	0	BOGOTA	SERVICIOS	C	6259631	3199632	21
3713	2	1	ATLANTICO	SERVICIOS	B	13614268	11475992	4
3714	0	1	CUNDINAMARCA	MANUFACTURA	C	213437828	2785068	1
3715	0	0	BOGOTA	SERVICIOS	C	955383	866781	0
3716	0	0	CUNDINAMARCA	MANUFACTURA	C	5841287	5084007	19
3717	0	0	VALLE	COMERCIO	C	2015792698	1422723575	1
3718	1	1	VALLE	COMERCIO	C	14460	702822	1
3719	4	0	CUNDINAMARCA	COMERCIO	C	4328451	3122942	0
3720	4	1	VALLE	SERVICIOS	C	29589	71085	0
3721	0	0	ANTIOQUIA	SERVICIOS	C	3408988	2212867	37
3722	0	0	BOGOTA	MANUFACTURA	C	308308	850565	8
3723	3	0	CUNDINAMARCA	TRANSPORTE	C	673920	418608	5
3724	5	0	ATLANTICO	COMERCIO	B	13633411	14233755	31
3725	0	0	ANTIOQUIA	COMERCIO	C	2010348	1447400	2
3726	0	1	BOGOTA	SERVICIOS	C	9321	183327	0
3727	0	0	ANTIOQUIA	MANUFACTURA	C	4393635	3261666	24
3728	1	0	BOGOTA	COMERCIO	C	1130647	1163530	5
3729	1	0	CAUCA	MANUFACTURA	C	2322788	835607	25
3730	1	0	SANTANDER	COMERCIO	C	3048587	2759215	1
3731	1	0	CUNDINAMARCA	SERVICIOS	C	4149517	3309166	8
3732	3	1	CAUCA	COMERCIO	C	1640672	3430031	0
3733	1	0	BOGOTA	SERVICIOS	C	377597	347504	3
